Qty,Value,Device,Package,Parts,Description,DIGIKEY,DISP,MF,MPN,VALUE,VALUE_PART
1,,C-EU1NFC0603,C0603,C9,"CAPACITOR, European symbol",311-1080-1-ND,,Yageo,CC0603KRX7R9BB102,,
3,,CONN_022.54_SCREW,1X02_2.54_SCREWTERM,"J3, J5, J9",Genaric 2 terminal header,ED10561-ND,,OnShore,OSTVN02A150,,
1,,DIODESOD-123,SOD-123,D1,Genaric Diode,1N4448WTPMSCT-ND,,Micro Commercial,1N4448W-TP,,
5,,MOUNTING_HOLE4_NP,4_40,"H1, H2, H3, H4, H5",Genaric Mechanical Mounting Hole,,,,,,
2,,R-EU_1KR0603,R0603,"R5, R8","RESISTOR, European symbol",311-1KLDCT-ND,,Yageo,AC0603FR-071KL,,1k
1,,R-EU_470R0603,R0603,R6,"RESISTOR, European symbol",311-470HRCT-ND,,Yageo,RC0603FR-07470RL,,470
1,,R-EU_P27KR0603,R0603,R7,"RESISTOR, European symbol",P27KDBCT-ND,,Panasonic,ERA-3AEB273V,,27k
1,,SN74AUP1G14DCK,DCK_R-PDSO-G5,U10,SN74x1G14 - Single Schmitt Triger Inverter,296-19076-1-ND,,TI,SN74AUP1G14DCKR,,
2,,SN74HC165D,SO16,"U8, U9",SN74HC165 - 8 bit PISO shift register,296-8250-1-ND,,TI,SN74HC165DR,,
2,,SN74HC590AD,SO16,"U6, U7",SN74HC590A - 8 bit binary counter with direct clear,296-8340-5-ND,,TI,SN74HC590AD,,
9,0.1uF,C-EU0.1UFC0402,C0402,"C5, C7, C11, C12, C13, C14, C15, C16, C17","CAPACITOR, European symbol",490-4759-1-ND,,Murata,GCM155R71C104KA55D,,
1,0.1uF,C-EU0.1UFC0603,C0603,C10,"CAPACITOR, European symbol",490-6051-1-ND,,Murata,GCM188R71E104KA57D,,
1,100m,R-EU_0.1R0805,R0805,R12,"RESISTOR, European symbol",P19308CT-ND,,Panasonic,ERJ-6DSFR10V,,
3,10k,R-EU_10KR0603,R0603,"R1, R2, R13","RESISTOR, European symbol",311-10.0KHRCT-ND,,Yageo,RC0603FR-0710KL,,10k
1,10m,R-EU_0.01R0805,R0805,R9,"RESISTOR, European symbol",CRF0805-FZ-R010ELFCT-ND,,Bourns,CRF0805-FZ-R010ELF,,
2,10uF,C-EU10UFC0805,C0805,"C3, C4","CAPACITOR, European symbol",490-6473-6-ND,,Murata,GRM21BR61C106KE15K,,
1,10uH,INDUCTORLQS_4X4,WE-LQS(4X4),L1,Genaric inductor,732-10757-1-ND,,Wurth,74404043100A,,
3,180k,R-EU_180KR0603,R0603,"R4, R10, R11","RESISTOR, European symbol",P180KHCT-ND,,Panasonic,ERJ-3EKF1803V,,180k
1,220pF,C-EU220PFC0402,C0402,C2,"CAPACITOR, European symbol",587-1215-1-ND,,Taiyo Yuden,UMK105CG221JV-F,,
2,22uF,C-EU22UFC0805,C0805,"C6, C8","CAPACITOR, European symbol",490-9952-1-ND,,Murata,GRM219R61C226ME15L,,
1,442k,R-EU_422KR0603,R0603,R3,"RESISTOR, European symbol",311-422KHRCT-ND,,Yageo,RC0603FR-07422KL,,422k
1,56pF,C-EU56PFC0402,C0402,C1,"CAPACITOR, European symbol",311-1022-1-ND,,Yageo,CC0402JRNPO9BN560,,
1,BATTERY_COIN12MM,BATTERY_COIN12MM,LINX_BAT-HLD-012-SMT,BT1,Coin Cell Battery Holder,BAT-HLD-012-SMT-ND,,Linx,BAT-HLD-012-SMT,,
